,Academic Year,B-T,C,Captain,Custom Field 1,Event,Events,Full Name,HIGH SCHOOL,HOMETOWN,HT,High School,Hometown,Ht,Ht.,LETTERS,Letters,NAME,NO,Name,No,POS,Pos,Pos.,Wt,Wt.,YR,Year,Yr,Yr.,title
5,So.,,,,,,,Cory Jayne,,,,Blue Ridge,"Farmer City, Ill.",,,,*,,,,,,,,,,,,,,2017-18 Men\'s Golf Roster
6,Fr.,,,,,,,Klaas-Jon Kroner,,,,,"Noord, Holland",,,,,,,,,,,,,,,,,,2017-18 Men\'s Golf Roster
7,Jr.,,,,,,,Dalton Love,,,,Alleman,"Rock Island, Ill.",,,,**,,,,,,,,,,,,,,2017-18 Men\'s Golf Roster
8,Fr.,,,,,,,Jack Neenan,,,,Benet Academy,"Naperville, Ill.",,,,,,,,,,,,,,,,,,2017-18 Men\'s Golf Roster
9,So.,,,,,,,Michael Sell,,,,Maine South,"Park Ridge, Ill.",,,,*,,,,,,,,,,,,,,2017-18 Men\'s Golf Roster
10,Jr.,,*,,,,,Alex Sierra,,,,Moline,"Moline, Ill.",,,,**,,,,,,,,,,,,,,2017-18 Men\'s Golf Roster
0,So.,,,,,,,Leah Crandell,,,,Downers Grove South,"Downers Grove, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Golf Roster
1,Fr.,,,,,,,Jennifer Filotto,,,,Joliet Catholic Academy,"Romeoville, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Golf Roster
2,Sr.,,*,,,,,Korina Freidag,,,,Lanark Eastland,"Lake Carroll, Ill.",,,,***,,,,,,,,,,,,,,2017-18 Women\'s Golf Roster
3,Sr.,,*,,,,,Jenna Lawrence,,,,Moline,"Moline, Ill.",,,,***,,,,,,,,,,,,,,2017-18 Women\'s Golf Roster
4,So.,,,,,,,Melanie Loeffler,,,,Lockport Township,"Homer Glen, Ill.",,,,*,,,,,,,,,,,,,,2017-18 Women\'s Golf Roster
5,So.,,,,,,,Grace Ludwig,,,,Glenbard East,"Lombard, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Golf Roster
6,Fr.,,,,,,,Miranda Sharp,,,,Minooka,"Shorewood, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Golf Roster
7,Fr.,,,,,,,Jillian Stone,,,,Rockridge,"Reynolds, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Golf Roster
0,,,,,,,,Claire Bacon,,,,Rock Island,"Rock Island, Ill.",,,,,,,,,,,,,,,,Sr.,,2017 Women\'s Cross Country Roster
1,,,,,,,,Alexis Bennis,,,,Plainfield South,"Plainfield, Ill.",,,,,,,,,,,,,,,,Fr.,,2017 Women\'s Cross Country Roster
2,,,,,,,,Sadie Brown,,,,St. Joseph,"St.Joseph, Mich.",,,,,,,,,,,,,,,,Fr.,,2017 Women\'s Cross Country Roster
3,,,,,,,,Abby Casey,,,,Lincoln-Way North,"Tinley Park, Ill.",,,,*,,,,,,,,,,,,So.,,2017 Women\'s Cross Country Roster
4,,,,,,,,Marielena Castillo,,,,Ottawa,"Marseilles, Ill.",,,,*,,,,,,,,,,,,So.,,2017 Women\'s Cross Country Roster
5,,,,,,,,Kylie Cline,,,,Wethersfield,"Kewanee, Ill.",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
6,,,,,,,,Alayna Connolly,,,,Downers Grove South,"Downers Grove, Ill.",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
7,,,,,,,,Irene Crown,,,,Aurora Central Catholic,"Geneva, Ill.",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
8,,,,,,,,Michelle DeArmond,,,,Moline,"Moline, Ill.",,,,*,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
9,,,*,,,,,Carol Garcia,,,,Belvidere North,"Belvidere, Ill.",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
10,,,,,,,,Alondra Hernandez,,,,East Aurora,"Aurora, Ill.",,,,*,,,,,,,,,,,,Sr.,,2017 Women\'s Cross Country Roster
11,,,,,,,,Olivia Hogenkamp,,,,Lakewood,"Lakewood, Colo.",,,,,,,,,,,,,,,,Fr.,,2017 Women\'s Cross Country Roster
12,,,,,,,,Jill Humecke,,,,Wheaton North,"Wheaton, Ill.",,,,*,,,,,,,,,,,,So.,,2017 Women\'s Cross Country Roster
13,,,,,,,,Katherine Iverson,,,,Oswego,"Oswego, Ill.",,,,,,,,,,,,,,,,Fr.,,2017 Women\'s Cross Country Roster
14,,,,,,,,Brianna Jepson,,,,Rockford Christian,"Belvidere, Ill.",,,,***,,,,,,,,,,,,Sr.,,2017 Women\'s Cross Country Roster
15,,,,,,,,Claire Koszewski,,,,Hartford Union,"Hartford, Wis.",,,,,,,,,,,,,,,,So.,,2017 Women\'s Cross Country Roster
16,,,,,,,,Erin LaRusso,,,,William Fremd,"Palatine, Ill.",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
17,,,*,,,,,Jessica Lechtenberg,,,,South Winneshiek,"Fort Atkinson, Iowa",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
18,,,,,,,,Julia Levy,,,,Jacobs,"Lake-in-the-Hills, Ill.",,,,,,,,,,,,,,,,So.,,2017 Women\'s Cross Country Roster
19,,,,,,,,Shelby Limbach,,,,Pike,"Indianapolis, Ind.",,,,,,,,,,,,,,,,Fr.,,2017 Women\'s Cross Country Roster
20,,,,,,,,Daniele London,,,,Red Bud,"Baldwin, Ill.",,,,,,,,,,,,,,,,Fr.,,2017 Women\'s Cross Country Roster
21,,,,,,,,Laura McNair,,,,Lake Zurich,"Lake Zurich, Ill.",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
22,,,,,,,,Tayloran Miller,,,,Benton,"Benton, Ill.",,,,,,,,,,,,,,,,So.,,2017 Women\'s Cross Country Roster
23,,,,,,,,Hannah Penn,,,,Normal,"Normal, Ill.",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
24,,,,,,,,Corrie Reiley,,,,Prophetstown,"Prophetstown, Ill.",,,,,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
25,,,,,,,,Mackenzie Renihan,,,,Vernon Hills,"Vernon Hills, Ill.",,,,*,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
26,,,,,,,,Gena Rodriguez,,,,Community,"West Chicago, Ill.",,,,***,,,,,,,,,,,,Sr.,,2017 Women\'s Cross Country Roster
27,,,,,,,,Lauren Rosenthal,,,,Normal University,"Towanda, Ill.",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
28,,,*,,,,,Sierra Scanlan,,,,Romeoville,"Romeoville, Ill.",,,,*,,,,,,,,,,,,Sr.,,2017 Women\'s Cross Country Roster
29,,,,,,,,Arianne Shipp,,,,Eagle Ridge Academy,"Brighton, Colo.",,,,,,,,,,,,,,,,So.,,2017 Women\'s Cross Country Roster
30,,,,,,,,Kaitlyn Stanley,,,,Lisle,"Lisle, Ill.",,,,*,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
31,,,,,,,,Katherine Syer,,,,Maine South,"Park Ridge, Ill.",,,,,,,,,,,,,,,,Fr.,,2017 Women\'s Cross Country Roster
32,,,,,,,,Margaret Utgaard,,,,Monticello,"White Heath, Ill.",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
33,,,,,,,,Isabel Vallejo,,,,Rock Island,"Rock Island, Ill.",,,,*,,,,,,,,,,,,Sr.,,2017 Women\'s Cross Country Roster
34,,,,,,,,Ana Warkocki,,,,Lincoln-Way East,"Frankfort, Ill.",,,,,,,,,,,,,,,,Fr.,,2017 Women\'s Cross Country Roster
35,,,,,,,,Cassidy Wingerd,,,,Streamwood,"Streamwood, Ill.",,,,**,,,,,,,,,,,,Jr.,,2017 Women\'s Cross Country Roster
0,Fr.,,,,,,,Peter Alex,,,,Hinsdale South,"Darien, Ill.",,,,,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
1,Fr.,,,,,,,Guilherme Calixto,,,,Calegria,"Presidente Prudente, Sao Paulo, Brazil",,,,,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
2,So.,,,,,,,Scott Daluga,,,,Libertyville,"Libertyville, Ill.",,,,*,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
3,Fr.,,,,,,,Caio de Rezende,,,,Colegio Itoca,"Sao Paulo, Brazil",,,,,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
4,Fr.,,,,,,,Tom Friberg,,,,,"Lund, Sweden",,,,,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
5,Fr.,,,,,,,Rodrigo Medeiros,,,,Colegio Reino,"Pelotas, Rio Grande do Sul, Brazil",,,,,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
6,Jr.,,,,,,,Jack Morkin,,,,University,"Bloomington, Ill.",,,,**,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
7,Sr.,,*,,,,,Eric Pohl,,,,William Fremd,"Palatine, Ill.",,,,***,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
8,Jr.,,,,,,,Alex Riddle,,,,York,"Elmhurst, Ill.",,,,**,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
9,So.,,,,,,,Ryan Sullivan,,,,The Gow School,"Winnetka, IL",,,,,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
10,Sr.,,*,,,,,Samuel Totten,,,,Normal University,"Normal, Ill.",,,,***,,,,,,,,,,,,,,2017-18 Men\'s Tennis Roster
0,Fr.,,,,,,,Leraaen Abbott,,,,Belvidere North,"Belvidere, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
1,So.,,,,,,,Zeana Badawi,,,,Hinsdale Central,"Burr Ridge, Ill.",,,,*,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
2,Fr.,,,,,,,Morgan Bullen,,,,Colorado Academy,"Lakewood, Colo.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
3,Fr.,,,,,,,Margaret Chadick,,,,Plainfield North,"Plainfield, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
4,Fr.,,,,,,,Maleeha Chowdhury,,,,Rock Canyon,"Highlands Ranch, Colo.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
5,Fr.,,,,,,,Faith Johnson,,,,Harker Heights,"Harker Heights, Texas",,,,,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
6,Fr.,,,,,,,Katherine Klawitter,,,,Cary-Grove Community,"Cary, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
7,Jr.,,,,,,,Madeline Lombardi,,,,Edwardsville,"Glen Carbon, Ill.",,,,**,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
8,Fr.,,,,,,,Allyson Radwan,,,,Plainfield North,"Plainfield, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
9,Fr.,,,,,,,Amanda Redman,,,,Wheaton North,"Wheaton, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
10,Jr.,,,,,,,Caitlyn Schaffer,,,,Kenwood Academy,"Chicago, Ill.",,,,**,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
11,Fr.,,,,,,,Annie Timm,,,,Prairie Ridge,"Crystal Lake, Ill.",,,,,,,,,,,,,,,,,,2017-18 Women\'s Tennis Roster
0,,,,,,,,,Lena-Winslow,"Lena, Ill.",5-6,,,,,*,,Sierra Rood,1.0,,,DS,,,,,Jr.,,,,2017 Women\'s Volleyball Roster
1,,,,,,,,,Schaumburg,"Schaumburg, Ill.",5-4,,,,,,,Hannah Moore,3.0,,,DS,,,,,Jr.,,,,2017 Women\'s Volleyball Roster
2,,,*,,,,,,Mother McAuley,"Orland Park, Ill.",5-7,,,,,***,,Claire Martin,4.0,,,DS,,,,,Sr.,,,,2017 Women\'s Volleyball Roster
3,,,,,,,,,Kaneland,"Elburn, Ill.",5-4,,,,,,,Jessica Nguyen,5.0,,,DS,,,,,Fr.,,,,2017 Women\'s Volleyball Roster
4,,,,,,,,,Hall Township,"Ladd, Ill.",5-6,,,,,,,Brooke Keegan,6.0,,,S,,,,,So.,,,,2017 Women\'s Volleyball Roster
5,,,,,,,,,Antioch,"Antioch, Ill.",5-8,,,,,,,Bianca Ori,7.0,,,OH,,,,,Jr.,,,,2017 Women\'s Volleyball Roster
6,,,,,,,,,Broomfield,"Broomfield, Colo.",5-8,,,,,,,Victoria Biggerstaff,8.0,,,OH,,,,,Jr.,,,,2017 Women\'s Volleyball Roster
7,,,,,,,,,Washington Community,"Washington, Ill.",5-8,,,,,,,Laura Heuermann,9.0,,,OH,,,,,Fr.,,,,2017 Women\'s Volleyball Roster
8,,,,,,,,,Lincoln-Way East,"Mokena, Ill.",5-10,,,,,,,Danielle Janacek,10.0,,,OH,,,,,Jr.,,,,2017 Women\'s Volleyball Roster
9,,,*,,,,,,Huntley,"Huntley, Ill.",5-8,,,,,**,,Emily Westermeyer,11.0,,,OH,,,,,Sr.,,,,2017 Women\'s Volleyball Roster
10,,,,,,,,,Lindbergh,"St. Louis, Mo.",5-10,,,,,,,Brooke Harmon,12.0,,,MH,,,,,So.,,,,2017 Women\'s Volleyball Roster
11,,,,,,,,,Lincoln Park,"Chicago, Ill.",5-5,,,,,,,Michaela Loizzi,13.0,,,DS,,,,,So.,,,,2017 Women\'s Volleyball Roster
12,,,,,,,,,Niwot,"Longmont, Colo.",5-5,,,,,,,Jennifer Townsend,14.0,,,S,,,,,Jr.,,,,2017 Women\'s Volleyball Roster
13,,,,,,,,,Rock Island,"Rock Island, Ill.",5-8,,,,,**,,Taryn VanEarwage,15.0,,,OH,,,,,Jr.,,,,2017 Women\'s Volleyball Roster
14,,,,,,,,,Morton,"Morton, Ill.",5-5,,,,,,,Madi Glatz,16.0,,,DS,,,,,So.,,,,2017 Women\'s Volleyball Roster
15,,,,,,,,,Eastland,"Erie, Ill.",5-11,,,,,**,,Peyton Achs,17.0,,,MH,,,,,Sr.,,,,2017 Women\'s Volleyball Roster
16,,,,,,,,,Red Wing,"Goodhue, Minn.",6-0,,,,,,,Taylor Steger,18.0,,,MH,,,,,So.,,,,2017 Women\'s Volleyball Roster
17,,,,,,,,,Galesburg,"Galesburg, Ill.",5-5,,,,,,,Kaylah Townsell,19.0,,,OH,,,,,Fr.,,,,2017 Women\'s Volleyball Roster
18,,,,,,,,,Fulton,"Fulton, Ill.",5-6,,,,,,,Taylor Curley,20.0,,,S,,,,,Fr.,,,,2017 Women\'s Volleyball Roster
19,,,,,,,,,Rock Island,"Rock Island, Ill.",5-6,,,,,*,,McKenzie Zambrano,21.0,,,S,,,,,Jr.,,,,2017 Women\'s Volleyball Roster
20,,,,,,,,,William H Taft,"Chicago, Ill.",5-7,,,,,,,Emma VanEssen,22.0,,,OH,,,,,So.,,,,2017 Women\'s Volleyball Roster
21,,,*,,,,,,Camp Point Central,"Camp Point, Ill.",6-0,,,,,***,,Maissie Musick,23.0,,,MH,,,,,Sr.,,,,2017 Women\'s Volleyball Roster
22,,,,,,,,,Maroa-Forsyth,"Maroa, Ill.",5-8,,,,,,,Savana Sparks,24.0,,,OH,,,,,Fr.,,,,2017 Women\'s Volleyball Roster
23,,,,,,,,,Galesburg,"Galesburg, Ill.",5-5,,,,,,,Kylee Townsell,25.0,,,S,,,,,Fr.,,,,2017 Women\'s Volleyball Roster
24,,,,,,,,,Pleasant Valley,"Bettendorf, Iowa",6-4,,,,,,,Kaycee Kallenberger,26.0,,,RS/MH,,,,,Sr.,,,,2017 Women\'s Volleyball Roster
25,,,,,,,,,Moorhead,"Moorhead, Mn.",5-9,,,,,,,Emily Uglem,27.0,,,OH,,,,,Jr.,,,,2017 Women\'s Volleyball Roster
26,,,,,,,,,Crystal Lake Central,"Lakewood, Ill.",6-0,,,,,,,Courtney Ward,28.0,,,RS,,,,,So.,,,,2017 Women\'s Volleyball Roster
27,,,,,,,,,Grayslake Community,"Hainesville, Ill.",5-7,,,,,,,Morgan Anderberg,29.0,,,OH/DS,,,,,Fr.,,,,2017 Women\'s Volleyball Roster
28,,,,,,,,,Homewood-Flossmoor,"Homewood, Ill.",6-0,,,,,*,,Grace Bialobok,30.0,,,MH/RS,,,,,So.,,,,2017 Women\'s Volleyball Roster
0,,,,,,,,Jack Jelen,,,,Bay Village,"Bay Village, Ohio",,5-10,,,,,,12.0,,,G,,181.0,,,,Fr.,2017-18 Men\'s Basketball Roster
1,,,*,,,,,Nolan Ebel,,,,Regis Jesuit,"Denver, Colo.",,6-1,,**,,,,14.0,,,G,,175.0,,,,Jr.,2017-18 Men\'s Basketball Roster
2,,,*,,,,,Chrishawn Orange,,,,Jacobs,"Algonquin, Ill.",,6-2,,**,,,,20.0,,,G,,180.0,,,,Jr.,2017-18 Men\'s Basketball Roster
3,,,,,,,,Nic Uhlir,,,,Linn-Mar,"Marion, Iowa",,6-1,,*,,,,22.0,,,G,,164.0,,,,Jr.,2017-18 Men\'s Basketball Roster
4,,,,,,,,Lucas Simon,,,,Notre Dame,"Chicago, Ill.",,6-5,,*,,,,23.0,,,G,,168.0,,,,So.,2017-18 Men\'s Basketball Roster
5,,,,,,,,Jarrett Tribble,,,,Homewood-Flossmoor,"Homewood, Ill.",,6-2,,,,,,24.0,,,G,,158.0,,,,Fr.,2017-18 Men\'s Basketball Roster
6,,,,,,,,Pierson Wofford,,,,Springfield Lutheran,"Springfield, Ill.",,6-4,,*,,,,24.0,,,F,,202.0,,,,Jr.,2017-18 Men\'s Basketball Roster
7,,,,,,,,Austin Elledge,,,,Highland,"Highland, Ill.",,6-1,,,,,,25.0,,,G,,161.0,,,,So.,2017-18 Men\'s Basketball Roster
8,,,*,,,,,Dylan Sortillo,,,,Bettendorf,"Bettendorf, Iowa",,6-3,,***,,,,30.0,,,G,,180.0,,,,Sr.,2017-18 Men\'s Basketball Roster
9,,,,,,,,Joe Kellen,,,,Rockford Lutheran,"Rockford, Ill.",,6-1,,**,,,,32.0,,,G,,180.0,,,,Jr.,2017-18 Men\'s Basketball Roster
10,,,,,,,,Brett Benning,,,,Dakota,"Davis, Ill.",,6-6,,*,,,,34.0,,,G,,191.0,,,,Jr.,2017-18 Men\'s Basketball Roster
11,,,,,,,,Roman Youngblut,,,,Assumption,"Davenport, Iowa",,6-9,,*,,,,40.0,,,F,,207.0,,,,So.,2017-18 Men\'s Basketball Roster
12,,,,,,,,Donovan Ferguson,,,,Downers Grove South,"Darien, Ill.",,6-9,,*,,,,42.0,,,F,,221.0,,,,So.,2017-18 Men\'s Basketball Roster
13,,,,,,,,Micah Martin,,,,Iowa City,"Iowa City, Iowa",,6-11,,*,,,,44.0,,,C,,240.0,,,,So.,2017-18 Men\'s Basketball Roster
14,,,,,,,,Carson Frakes,,,,Rockridge,"Illinois City, Ill.",,6-5,,,,,,45.0,,,F,,179.0,,,,Fr.,2017-18 Men\'s Basketball Roster
15,,,,,,,,A.J. Dollmeyer,,,,Polo,"Polo, Ill.",,6-9,,**,,,,50.0,,,C,,260.0,,,,Sr.,2017-18 Men\'s Basketball Roster
16,,,,,,,,Connor McCord,,,,Legend,"Parker, Colo.",,6-8,,,,,,52.0,,,F,,217.0,,,,So.,2017-18 Men\'s Basketball Roster
17,,,,,,,,Andy McLaughlin,,,,Moline,"Moline, Ill.",,6-7,,,,,,52.0,,,C,,258.0,,,,So.,2017-18 Men\'s Basketball Roster
18,,,,,,,,Jason Cassens,,,,Emerald Ridge,"Puyallup, Wash.",,6-4,,,,,,,,,G,,170.0,,,,Fr.,2017-18 Men\'s Basketball Roster
19,,,,,,,,Dillon Durrett,,,,Wheaton Warrenville South,"Wheaton, Ill.",,6-4,,,,,,,,,F,,165.0,,,,Fr.,2017-18 Men\'s Basketball Roster
20,,,,,,,,Stefan Kljajic,,,,"Sierra Canyon - Chatsworth, Calif.","Podgorica, Montenegro",,6-8,,,,,,,,,F,,231.0,,,,Fr.,2017-18 Men\'s Basketball Roster
0,,,,,,,,Dan Allegretti,,,,St. Patrick,"Chicago, Ill.",,,,*,,,,,,,,197,,,,Jr.,,2017-18 Wrestling Roster
1,,,,,,,,Bo Bauer,,,,Olympia,"Stanford, Ill.",,,,*,,,,,,,,174,,,,So.,,2017-18 Wrestling Roster
2,,,,,,,,Ethan Benoit,,,,Marist,"Oak Lawn, Ill.",,,,***,,,,,,,,197,,,,Sr.,,2017-18 Wrestling Roster
3,,,,,,,,Josh Bush,,,,Moline,"Moline, Ill.",,,,*,,,,,,,,157,,,,So.,,2017-18 Wrestling Roster
4,,,,,,,,Tavian Cervantez,,,,Galesburg,"Galesburg, Ill.",,,,,,,,,,,,174,,,,Fr.,,2017-18 Wrestling Roster
5,,,,,,,,Dale Charlier,,,,Cary-Grove,"Cary, Ill.",,,,**,,,,,,,,141,,,,Jr.,,2017-18 Wrestling Roster
6,,,,,,,,Josh Diehl,,,,Oskaloosa,"Oskaloosa, Iowa",,,,,,,,,,,,125,,,,Fr.,,2017-18 Wrestling Roster
7,,,,,,,,Frankie Faasen,,,,Manasquan,"Lake Como, New Jersey",,,,,,,,,,,,157,,,,Fr.,,2017-18 Wrestling Roster
8,,,,,,,,Christos Giatras,,,,Lemont,"Lemont, Ill.",,,,***,,,,,,,,184,,,,Sr.,,2017-18 Wrestling Roster
9,,,,,,,,Andrew Gonzalez,,,,Loyola Academy,"Skokie, Ill.",,,,,,,,,,,,197,,,,Fr.,,2017-18 Wrestling Roster
10,,,,,,,,Brendan Gould,,,,Assumption,"Davenport, Iowa",,,,***,,,,,,,,141,,,,Sr.,,2017-18 Wrestling Roster
11,,,,,,,,Mason Heimlich,,,,Providence Catholic,"Elwood, Ill.",,,,*,,,,,,,,149,,,,So.,,2017-18 Wrestling Roster
12,,,,,,,,Coy Helmuth,,,,Decatur,"Dowagiac, Mich.",,,,,,,,,,,,125,,,,Fr.,,2017-18 Wrestling Roster
13,,,,,,,,Adarios Jones,,,,Moline,"Moline, Ill.",,,,*,,,,,,,,285,,,,So.,,2017-18 Wrestling Roster
14,,,,,,,,Clem Martin,,,,Nazareth Academy,"Chicago, Ill.",,,,*,,,,,,,,184,,,,So.,,2017-18 Wrestling Roster
15,,,,,,,,Neil O'Shaughnessy,,,,Niles West,"Niles, Ill",,,,,,,,,,,,157,,,,Fr.,,2017-18 Wrestling Roster
16,,,,,,,,Bobby Papiernik,,,,Metea Valley,"Naperville, Ill.",,,,,,,,,,,,285,,,,Fr.,,2017-18 Wrestling Roster
17,,,,,,,,Jacob Poole,,,,Marist,"Chicago, Ill.",,,,*,,,,,,,,174,,,,Jr.,,2017-18 Wrestling Roster
18,,,,,,,,Travis Pulse,,,,Assumption,"Milan, Ill.",,,,**,,,,,,,,133,,,,Jr.,,2017-18 Wrestling Roster
19,,,,,,,,Shawn Saulys,,,,Manasquan,"West Belmar, New Jersey",,,,,,,,,,,,133,,,,Fr.,,2017-18 Wrestling Roster
20,,,,,,,,Trystyn Schoonover,,,,Champaign Central,"Champaign, Ill.",,,,,,,,,,,,197,,,,So.,,2017-18 Wrestling Roster
21,,,,,,,,Matt Sears,,,,Marist,"New Lenox, Ill.",,,,***,,,,,,,,149,,,,Sr.,,2017-18 Wrestling Roster
22,,,,,,,,Freddy Terranova,,,,Jackson Memorial,"Jackson, N.J.",,,,*,,,,,,,,133,,,,Jr.,,2017-18 Wrestling Roster
23,,,,,,,,Daniel Terronez,,,,Moline,"Moline, Ill.",,,,,,,,,,,,149,,,,Fr.,,2017-18 Wrestling Roster
24,,,,,,,,Trace Timmons,,,,Assumption,"Davenport, Iowa",,,,**,,,,,,,,165,,,,Sr.,,2017-18 Wrestling Roster
25,,,,,,,,Nick Torres,,,,Lincoln-Way Central,"Manhattan, Ill.",,,,**,,,,,,,,174,,,,Sr.,,2017-18 Wrestling Roster
0,,,,,,,,Matt Albers,,,,Rochelle Township,"Rochelle, Ill.",,6-2,,,,,,1D,,,RB/LB,,185.0,,,Fr.,,2017 Football Roster
1,,,,,,,,Austin Nice,,,,Normal Community,"Bloomington, Ill.",,6-2,,**,,,,1,,,DE,,230.0,,,Jr.,,2017 Football Roster
2,,,,,,,,John Asquini,,,,Buffalo Grove,"Arlington Heights, Ill.",,5-8,,**,,,,2,,,DB,,190.0,,,Jr.,,2017 Football Roster
3,,,,,,,,Chandler Behrens,,,,West Aurora,"North Aurora, Ill.",,5-9,,,,,,2D,,,RB/DB,,175.0,,,Fr.,,2017 Football Roster
4,,,,,,,,Kennedy Carey,,,,Lasalle- Peru Township,"Peru, Ill.",,5-11,,,,,,3D,,,QB,,175.0,,,Fr.,,2017 Football Roster
5,,,,,,,,Dario Ingardona,,,,Rockford Lutheran,"Cherry Valley, Ill.",,5-11,,**,,,,3,,,DB,,189.0,,,Jr.,,2017 Football Roster
6,,,,,,,,Emanuel Bada,,,,University,"Normal, Ill.",,5-11,,,,,,4D,,,WR/DB,,160.0,,,Fr.,,2017 Football Roster
7,,,,,,,,Thomas McSorley,,,,Buffalo Grove,"Arlington Heights, Ill.",,6-0,,**,,,,4,,,WR/RET,,175.0,,,Jr.,,2017 Football Roster
8,,,,,,,,Owen Ennis,,,,Evanston Township,"Evanston, Ill.",,5-11,,,,,,5D,,,K/P,,195.0,,,Fr.,,2017 Football Roster
9,,,,,,,,Ryan Hennessy,,,,Oswego,"Oswego, Ill.",,6-1,,**,,,,5,,,WR,,185.0,,,Jr.,,2017 Football Roster
10,,,,,,,,Levon Carothers,,,,Hubbard,"Chicago, Ill.",,6-1,,,,,,6D,,,QB,,205.0,,,So.,,2017 Football Roster
11,,,,,,,,JJ Cervino,,,,Libertyville,"Libertyville, Ill.",,6-0,,,,,,6,,,DB,,190.0,,,So.,,2017 Football Roster
12,,,,,,,,Ethan Jennings,,,,Notre Dame,"Chicago, Ill.",,6-1,,*,,,,7,,,WR,,195.0,,,So.,,2017 Football Roster
13,,,,,,,,Marcus Prince,,,,Brother Martin,"New Orleans, La.",,5-7,,,,,,7D,,,RB,,173.0,,,Sr.,,2017 Football Roster
14,,,,,,,,Tyler Davis,,,,Lake Park,"Bloomingdale, Ill.",,5-7,,,,,,8,,,WR,,150.0,,,Fr.,,2017 Football Roster
15,,,,,,,,Dylan Hayden,,,,Farmington Central,"Trivoli, Ill.",,5-11,,,,,,8D,,,QB/DB,,165.0,,,Fr.,,2017 Football Roster
16,,,,,,,,Luke Bleyer,,,,Williamsville,"Springfield, Ill.",,6-2,,*,,,,9,,,QB,,210.0,,,Jr.,,2017 Football Roster
17,,,,,,,,Nick Karis,,,,Glenbrook North,"Northbrook, Ill.",,5-11,,*,,,,10,,,WR,,180.0,,,So.,,2017 Football Roster
18,,,,,,,,Bradley Williams,,,,St. Charles Lutheran,"St. Peters, Mo.",,6-4,,,,,,11,,,QB,,210.0,,,So.,,2017 Football Roster
19,,,,,,,,Zachary Fuller,,,,St. Patrick,"Schiller Park, Ill.",,6-5,,*,,,,12,,,QB,,228.0,,,Jr.,,2017 Football Roster
20,,,,,,,,Alek Jacobs,,,,Rock Island,"Rock Island, Ill.",,5-11,,,,,,13,,,QB,,185.0,,,Fr.,,2017 Football Roster
21,,,,,,,,Bobby Jarosz,,,,Prospect,"Mt. Prospect, Ill.",,5-8,,*,,,,15,,,RB,,183.0,,,So.,,2017 Football Roster
22,,,,,,,,Ryan Ganson,,,,Geneseo,"Geneseo, Ill.",,5-11,,,,,,16,,,K,,172.0,,,Jr.,,2017 Football Roster
